gene_names,BRCA
POLDIP2,POLDIP2
AK2,AK2
SLC4A1,SLC4A10;SLC4A11;SLC4A1AP;SLC4A1
SLC25A5,SLC25A5
ACSM3,ACSM3
AP2B1,AP2B1
ELAC2,ELAC2
DNAJC11,DNAJC11
MGST1,MGST1
UQCRC1,UQCRC1
LYPLA2,LYPLA2P1;LYPLA2
ABHD5,ABHD5
SLC25A39,SLC25A39
SLC38A5,SLC38A5
PHLDB1,PHLDB1
VIM,VIM
ANK1,ANK1
SARS1,
RNF19A,
DSG2,DSG2
TPR,TPRA1;TPRG1L;TPRG1;TPRKB;TPRN;TPRX1
WWC3,WWC3
LETMD1,LETMD1
HERPUD1,HERPUD1
MSMO1,
ARID4B,ARID4B
EIF2AK2,EIF2AK2
KMT2C,
SLC2A3,SLC2A3
MPC1,
HDAC7,HDAC7
VMP1,
BTBD1,BTBD10;BTBD11;BTBD12;BTBD17;BTBD18;BTBD19
OAT,
KARS1,
ELAVL1,ELAVL1
CD84,CD84
ATP11A,ATP11A
GBA2,
CDC42,CDC42BPA;CDC42BPB;CDC42EP1;CDC42EP2;CDC42EP3;CDC42EP4;CDC42EP5;CDC42SE1;CDC42SE2;CDC42
WDR1,WDR11;WDR12;WDR13;WDR17;WDR18;WDR19;WDR1
ASIC4,
HSD17B10,HSD17B10
FCGR2B,FCGR2B
NFATC3,NFATC3
ACADVL,ACADVL
SDHA,SDHAF1;SDHAF2;SDHAP1;SDHAP2
ST6GAL1,ST6GAL1
ATP2A3,ATP2A3
ENO1,
ADD2,ADD2
SLC25A3,SLC25A30;SLC25A32;SLC25A33;SLC25A34;SLC25A35;SLC25A36;SLC25A37;SLC25A38;SLC25A39;SLC25A3
FRYL,FRYL
ACTB,ACTBL2;ACTB
MLH1,MLH1
TNS1,TNS1
FDFT1,FDFT1
MEF2C,MEF2C
OXCT1,OXCT1
RPS5,RPS5
GSTP1,GSTP1
EIF3I,EIF3I
PPP1R15A,PPP1R15A
ADD1,ADD1
GNAS,GNASAS;GNAS
TPX2,TPX2
COQ9,
FKBP1A,
RPL6,RPL6
LYZ,LYZL1;LYZL2;LYZ
AARS1,
PHGDH,PHGDH
CDC45,CDC45
PTGS1,
SRPK1,SRPK1
HSP90AB1,HSP90AB1
SCD,SCD5;SCD
MAGEB2,
CRKL,
BCL2L13,BCL2L13
GCAT,GCAT
SNU13,
XBP1,XBP1
MIEF1,
ST13,ST13
ACO2,
BRD1,BRD1
SRSF5,
ARHGAP5,ARHGAP5
PROCR,PROCR
PABPC1L,PABPC1L2A;PABPC1L2B;PABPC1L
CTSZ,CTSZ
TUBB1,TUBB1
TRIB3,TRIB3
IDH3B,
MYL12A,
TBL1X,TBL1XR1
GABRE,GABRE
MAGED2,MAGED2
COTL1,COTL1
SLC7A5,SLC7A5P1;SLC7A5
STUB1,STUB1
DNAJA3,DNAJA3
KAT8,
FAH,FAHD1;FAHD2A;FAH
CEP152,CEP152
BMF,BMF
SCG3,SCG3
INTS9,
CALB1,CALB1
SLC39A14,SLC39A14
GSR,GSR
ASAH1,ASAH1
OAZ1,OAZ1
TIMM50,TIMM50
FBL,FBLN1;FBLN2;FBLN5;FBLN7
SLC1A5,
BABAM1,
WDR83OS,
KLF1,KLF10;KLF11;KLF12;KLF13;KLF14;KLF15;KLF16;KLF17;KLF1
TMEM147,TMEM147
RASA4,RASA4
OGDH,OGDH
CAV2,CAV2
CHCHD2,CHCHD2
CHCHD3,CHCHD3
CORO2A,CORO2A
PPIF,PPIF
RPL19,RPL19P12
PFN1,PFN1
C1QBP,C1QBP
LGALS3BP,LGALS3BP
ALOX12,ALOX12B;ALOX12P2;ALOX12
HDAC5,HDAC5
LUC7L3,
EFTUD2,EFTUD2
YWHAE,
KLF3,KLF3
HSPA8,HSPA8
VWA5A,VWA5A
CBL,CBLB;CBLC;CBLN1;CBLN2;CBLN4;CBL
CARS1,
SLC35F2,SLC35F2
CD69,CD69
CAPRIN2,CAPRIN2
SLC11A2,
ATP5F1B,
SLC38A1,SLC38A10;SLC38A11;SLC38A1
COPZ1,COPZ1
GAPDH,GAPDH
TPI1,TPI1P2;TPI1P3;TPI1
ENO2,ENO2
COX6A1,COX6A1
RPS12,RPS12
MRPL2,MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28
COX7A2,COX7A2L;COX7A2
VEGFA,VEGFA
DAP,DAP3;DAPK2;DAPK3;DAPL1;DAPP1;DAP
BRD8,
NNT,
MRPS30,MRPS30
MRPS27,MRPS27
STC2,
DBN1,DBN1
BCL6,BCL6B;BCL6
COL7A1,COL7A1
MAPKAPK3,MAPKAPK3
ABHD14B,ABHD14B
NKTR,NKTR
DGUOK,DGUOK
ABCB6,
ODC1,ODC1
PLEKHB2,PLEKHB2
DHCR24,DHCR24
RPL22,RPL22L1;RPL22
WDR77,WDR77
ATP5PB,
ARHGEF2,
MAD2L2,MAD2L2
MFN2,MFN2
CTH,CTHRC1;CTH
SDHB,
SSX2IP,SSX2IP
RCOR3,
RPS25,RPS25
MYL12B,MYL12B
TJP2,TJP2
SET,SETBP1;SETD1A;SETD1B;SETD2;SETD3;SETD4;SETD6;SETD7;SETD8;SETDB1;SETDB2;SETMAR;SETX;SET
PHF19,
DLST,DLST
SLIRP,
GOT1,GOT1
MTHFD1L,
EGR1,EGR1
TNFRSF10B,TNFRSF10B
KHDRBS1,KHDRBS1
P4HA1,P4HA1
MED13L,MED13L
DDX39A,
ATP7B,ATP7B
PFDN5,PFDN5
CDK2,CDK20;CDK2AP1;CDK2AP2;CDK2
PLA2G12A,
MXD4,MXD4
FAM210B,
IQSEC2,IQSEC2
SNRPC,SNRPC
NQO2,NQO2
KLHDC3,
SSR1,SSR1
AHNAK,AHNAK2;AHNAK
CNOT1,CNOT10;CNOT1
GOT2,GOT2
SNRPD2,SNRPD2
SNRPB,SNRPB2;SNRPB
PSMB2,PSMB2
COX6B1,COX6B1
BCL2L12,BCL2L12
PRMT1,PRMT10;PRMT1
STAT5A,STAT5A
TRAP1,TRAP1
ELK1,ELK1
TIMM17B,TIMM17B
IDUA,IDUA
ECHS1,ECHS1
AKAP9,
MGAT3,MGAT3
ATF4,ATF4
FLNC,FLNC
MRPS12,MRPS12
ARPP19,ARPP19
SUMF2,SUMF2
NEDD8,NEDD8
ARHGEF6,ARHGEF6
STARD8,STARD8
ELOF1,ELOF1
TOMM40,TOMM40L;TOMM40
NDUFA10,
UBAC1,UBAC1
SESN2,
PNCK,PNCK
DKC1,DKC1
ACSS2,ACSS2
COX4I1,COX4I1
COX7B,COX7B2;COX7B
SLC6A6,SLC6A6
PSME3,PSME3
ACLY,ACLY
DIAPH1,DIAPH1
MAP1B,MAP1B
RHOXF2,
TNS4,TNS4
PDHA1,PDHA1
MCCC2,MCCC2
RAN,RANBP10;RANBP17;RANBP1;RANBP2;RANBP3L;RANBP3;RANBP6;RANBP9;RANGAP1;RANGRF;RAN
PNISR,
H3-3B,
EIF5A,EIF5A2;EIF5AL1;EIF5A
VPS4A,VPS4A
DAP3,DAP3
NES,NES
CA1,CA10;CA11;CA12;CA13;CA14;CA1
CCNB1,CCNB1IP1;CCNB1
NAV1,
RPS15A,RPS15A
YARS1,
DSC2,DSC2
TIMM10,TIMM10
COL4A2,COL4A2
CTSL,
CDK4,CDK4
CD164,CD164L2;CD164
DYNC1LI2,DYNC1LI2
GLUL,
CEP350,CEP350
DNAJB2,DNAJB2
FLNB,FLNB
LCP1,LCP1
TBRG4,TBRG4
CCM2,CCM2
USP20,
HEMGN,HEMGN
PSMB7,PSMB7
RPS6,RPS6KA1;RPS6KA2;RPS6KA3;RPS6KA4;RPS6KA5;RPS6KB1;RPS6KB2;RPS6KC1;RPS6
TMEM14B,TMEM14B
FAM8A1,FAM8A1
SLCO2B1,SLCO2B1
NUSAP1,NUSAP1
ATIC,ATIC
FASTKD1,FASTKD1
CIR1,CIR1
SEC31A,SEC31A
INHBE,
SLC7A1,SLC7A10;SLC7A11;SLC7A13;SLC7A14;SLC7A1
ESYT1,ESYT1
WARS1,
SERF2,SERF2
ARRDC4,ARRDC4
UQCRC2,UQCRC2
SS18,SS18L1;SS18L2;SS18
EIF4A3,EIF4A3
IGFBP4,IGFBP4
RPL11,RPL11
PSMA5,PSMA5
CELSR2,CELSR2
PPOX,PPOX
JTB,JTB
TPM3,TPM3
HAX1,HAX1
ILF2,ILF2
SRP9,SRP9
LBR,LBR
PTPN7,PTPN7
PKP4,PKP4
IQSEC1,IQSEC1
MUC4,MUC4
CCNA2,CCNA2
AIG1,AIG1
VWDE,VWDE
TMEM209,TMEM209
MSN,MSN
RBMX,RBMX2;RBMXL1;RBMXL2
SLC25A37,SLC25A37
EIF3M,
HYOU1,HYOU1
FADS1,
PDCD4,PDCD4
DLAT,DLAT
TWF1,TWF1
UPF2,UPF2
ATP5F1A,
PFKM,PFKM
HHEX,HHEX
UTRN,UTRN
ZNF117,ZNF117
CAST,CAST
SREK1,
ATP5MC3,
ELOC,
ATP5PF,
KLF10,KLF10
MMS19,MMS19
RHOC,RHOC
OXA1L,OXA1L
PPARGC1B,PPARGC1B
UBE2L6,UBE2L6
RAB11FIP1,RAB11FIP1
FCHO2,FCHO2
ZNF618,ZNF618
TNFRSF14,
ALAS2,ALAS2
TAGLN2,TAGLN2
DMTN,
NDUFS2,NDUFS2
EPB41,EPB41L1;EPB41L2;EPB41L3;EPB41L4A;EPB41L4B;EPB41L5;EPB41
ALG8,ALG8
GART,GART
ATP5MC1,
RUNX1,RUNX1T1
PSMB4,PSMB4
BTG2,BTG2
HK2,
CBS,CBS
FDPS,FDPSL2A;FDPS
ORAI2,ORAI2
EIF4A1,EIF4A1
CYB561A3,
PEF1,
MXRA8,MXRA8
FAM102B,
PEX19,PEX19
NOSTRIN,NOSTRIN
CTSS,
ABRAXAS1,
ATP1A1,
SUCLG1,SUCLG1
CCNL1,CCNL1
MELTF,
ERMAP,ERMAP
CDC25A,CDC25A
BSN,BSN
ERAP1,ERAP1
UQCRQ,UQCRQ
TRA2A,
RPS14,RPS14
CTSB,CTSB
DNAAF5,
SLC25A32,SLC25A32
TP53INP1,TP53INP1
PSIP1,PSIP1
AQP3,
INTS6L,
GHITM,
GFI1B,
NOLC1,NOLC1
TRIM66,TRIM66
MCM7,MCM7
B2M,
PPIB,PPIB
MRPL16,
EPB42,EPB42
MAP1A,MAP1A
PHB,PHB
SLC27A4,SLC27A4
ATP5MG,
RRM1,RRM1
TPM4,TPM4
YIF1B,YIF1B
NDUFV1,
TRANK1,
RPSA,RPSAP52
LTBP3,LTBP3
CCDC88B,
DDIT4,DDIT4L;DDIT4
TNXB,TNXB
STAT3,STAT3
NDUFS5,NDUFS5
DDX19A,DDX19A
USP39,USP39
ATP5ME,
UQCRFS1,
NSMCE1,NSMCE1
PRELID1,PRELID1
SF3B5,SF3B5
CHD3,
GYPA,GYPA
GLB1,GLB1L3;GLB1L;GLB1
FAXDC2,
TMED10,TMED10P1
PA2G4,PA2G4P4;PA2G4
SMAGP,
PAQR8,PAQR8
PGAM1,PGAM1
ATF7IP,ATF7IP2;ATF7IP
RASGRP4,RASGRP4
CYCS,CYCS
GTPBP2,GTPBP2
EGFL7,EGFL7
DHCR7,DHCR7
MYEOV,MYEOV2;MYEOV
OXSR1,OXSR1
CKS1B,CKS1B
SLC2A14,SLC2A14
MICOS10,
EHBP1L1,
PPP1R14B,PPP1R14B
NABP1,
CHD2,CHD2
UQCRH,UQCRHL;UQCRH
STAT5B,STAT5B
NET1,NET1
SPTBN2,SPTBN2
ATP5MD,
RPL4,RPL4
RESF1,
FUT1,FUT10;FUT11;FUT1
MARCKSL1,MARCKSL1
GOLGA8A,GOLGA8A
COX8A,COX8A
RHOG,RHOG
COX5A,COX5A
TAF7,TAF7L;TAF7
TUFM,TUFM
EIF3K,EIF3K
CYC1,CYC1
SETD2,SETD2
SLX1B,
ATG9B,ATG9B
SHMT2,SHMT2
ANXA2,ANXA2P1;ANXA2P2;ANXA2
RPL35A,RPL35A
SF3A3,SF3A3
KMT5A,
ACTG1,ACTG1
PROS1,PROS1
SOCS3,SOCS3
APOBR,
CIB1,CIB1
TCEAL9,
PRAME,PRAMEF12;PRAMEF1;PRAMEF22;PRAME
PCYT2,PCYT2
BCAP31,BCAP31
IFITM1,IFITM1
NBPF6,NBPF6
INSIG1,
HEXIM1,HEXIM1
RHD,RHD
PLCD1,PLCD1
RGPD1,RGPD1
EIF4EBP1,EIF4EBP1
C17orf99,
HEPACAM2,HEPACAM2
RHCE,RHCE
UROS,UROS
NDUFA4,NDUFA4
RELN,RELN
SLC35E2B,
STK40,STK40
PPIA,PPIAL4C;PPIAL4D;PPIAL4G;PPIA
LONP1,LONP1
PIK3R4,PIK3R4
MAN2A2,MAN2A2
DAPK1,
FLNA,FLNA
LRRC8B,
MRPL21,MRPL21
STMN3,
CDC42SE1,CDC42SE1
RPS26,
KEL,
MYL4,
OGA,
CTNND1,CTNND1
OPA1,
COL11A2,COL11A2
SDHD,SDHD
HSPA1A,HSPA1A
LSM2,LSM2
AIF1,AIF1L
MRPS18B,MRPS18B
LGR4,LGR4
IPO7,
EIF3CL,EIF3CL
C5orf51,
GSTM2,GSTM2P1;GSTM2
ERV3-1,
TMX2,TMX2
CLIC1,CLIC1
TTLL3,TTLL3
TOMM6,TOMM6
PHB2,
FADS3,FADS3
CCNL2,CCNL2
UBA52,
NSUN5P1,
HSPA7,
GTF2H2B,GTF2H2B
DANCR,
RPL41,
CRPPA-AS1,
GTF2IP4,
PPP1R3E,PPP1R3E
OLMALINC,
NME1,NME1-NME2;NME1
RPL36A,RPL36AL;RPL36A
ATP5PO,
EIF6,EIF6
ACY1,ACY1
ETV5,ETV5
FCGR2C,
GABPB1-AS1,
GYPB,
CHCHD10,CHCHD10
SELENOP,
RTEL1,RTEL1
GTF2I,GTF2IRD1;GTF2IRD2B;GTF2IRD2P1;GTF2IRD2;GTF2I
UBBP4,
LINC02864,
KCNQ1OT1,KCNQ1OT1
RPS10-NUDT3,
LINC02772,
ZNF595,ZNF595
GTF2IP1,
PSMB3,PSMB3
DHRS11,DHRS11
